# libpcap reference programs, generated once and committed.
#
# Source: tcpdump 4.99.4 / libpcap on Linux 6.8 (Ubuntu 24.04), via
#   tcpdump -dd -s 262144 -i lo '<expression>'
#
# These are the ORACLE for the differential test in
# openspec/changes/add-remote-pcapng-capture task 1.11: our compiler's output
# and these programs are each run over the same crafted corpus and must agree
# on every packet.
#
# The comparison is SEMANTIC, not bytecode equality. A future libpcap that
# emits different instructions for the same filter does not invalidate these
# fixtures: a correct program for `tcp port 443` stays a correct program, so
# the behavioural comparison remains valid. Asserting bytecode equality would
# instead turn red for filters that are perfectly correct, which is why this
# file is an oracle rather than a golden of our own output.
#
# To regenerate, run the tcpdump command above for each expression on a Linux
# host and rewrite the lines below. Nothing in CI shells out to tcpdump: a
# test that needs a host binary goes green by silently skipping when it is
# absent.
#
# format: <expression>\t<code,jt,jf,k> <code,jt,jf,k> ...
net 192.0.2.0/24	40,0,0,12 21,0,6,2048 32,0,0,26 84,0,0,4294967040 21,11,0,3221225984 32,0,0,30 84,0,0,4294967040 21,8,9,3221225984 21,1,0,2054 21,0,7,32821 32,0,0,28 84,0,0,4294967040 21,3,0,3221225984 32,0,0,38 84,0,0,4294967040 21,0,1,3221225984 6,0,0,262144 6,0,0,0
outbound	40,0,0,4294963204 21,0,1,4 6,0,0,262144 6,0,0,0
inbound	40,0,0,4294963204 21,0,1,4 6,0,0,0 6,0,0,262144
icmp or arp	40,0,0,12 21,0,2,2048 48,0,0,23 21,1,2,1 21,0,1,2054 6,0,0,262144 6,0,0,0
tcp and dst host 192.0.2.1	40,0,0,12 21,0,5,2048 48,0,0,23 21,0,3,6 32,0,0,30 21,0,1,3221225985 6,0,0,262144 6,0,0,0
not icmp	40,0,0,12 21,0,3,2048 48,0,0,23 21,0,1,1 6,0,0,0 6,0,0,262144
#
# The five expressions below MIX `and` with `or` without parentheses. They exist
# because their absence let a real bug ship: this compiler gave `and` the higher
# precedence every other language does, while libpcap's grammar declares
# `%left OR AND` -- one level, left-associative. So `tcp or udp and port 443`
# is `(tcp or udp) and port 443` to tcpdump and was `tcp or (udp and port 443)`
# here. Every unparenthesised mixed expression compiled to a different filter,
# and the differential test could not see it because no fixture mixed them.
tcp or udp and port 443	40,0,0,12 21,0,10,2048 48,0,0,23 21,1,0,6 21,0,17,17 40,0,0,20 69,15,0,8191 177,0,0,14 72,0,0,14 21,11,0,443 72,0,0,16 21,9,10,443 21,0,9,34525 48,0,0,20 21,2,0,6 21,6,0,44 21,0,5,17 40,0,0,54 21,2,0,443 40,0,0,56 21,0,1,443 6,0,0,262144 6,0,0,0
arp or ip and tcp	40,0,0,12 21,4,0,2054 21,0,3,2048 48,0,0,23 21,0,1,6 6,0,0,262144 6,0,0,0
icmp and ip or arp	40,0,0,12 21,0,2,2048 48,0,0,23 21,1,2,1 21,0,1,2054 6,0,0,262144 6,0,0,0
tcp and port 443 or udp	40,0,0,12 21,0,9,2048 48,0,0,23 21,0,17,6 40,0,0,20 69,17,0,8191 177,0,0,14 72,0,0,14 21,13,0,443 72,0,0,16 21,11,12,443 21,0,11,34525 48,0,0,20 21,0,4,6 40,0,0,54 21,6,0,443 40,0,0,56 21,4,5,443 21,0,2,44 48,0,0,54 21,2,0,6 21,0,1,17 6,0,0,262144 6,0,0,0
not tcp or arp	40,0,0,12 21,0,2,2048 48,0,0,23 21,6,7,6 21,0,6,34525 48,0,0,20 21,3,0,6 21,0,3,44 48,0,0,54 21,0,1,6 6,0,0,0 6,0,0,262144
